kyu,waza,taijutsu,embeded,disco_tissier,otro
5,tachi waza,katate dori kokyu nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/RHWFkHcyCps?si=B4XP6tb8eu_vEOT8&amp;start=24"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,https://youtu.be/POvsOnN6yM4?si=0ubuATmuaYr4y-6O&t=361
5,tachi waza,katate dori kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/yc7LJlZrfTQ?si=of-PP8kP-8KvnN6i"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=1930,
5,tachi waza,katate dori shiho nage omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=wYrGCP1YzxKjbn5H&amp;clip=Ugkxpn_bRfQVPxum6eXl5xZh7Jmr7h8OOH3T&amp;clipt=EI3hFxjGtBk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=390,
5,tachi waza,katate dori shiho nage ura,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=8hMKvCB_U4YQRpSA&amp;clip=Ugkxn8ejMp1W7UoqB3k0Ce9vHWCJFfR-yA7E&amp;clipt=EJC3GRjYqxs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=417,
5,suwari waza,ryote dori kokyu ho,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/sF0diFgJEAQ?si=YDiW9R8mrlT5TOtQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,https://youtu.be/45dAUfMUrLg?si=jg9mor5a5EPJwSL3&t=9
5,tachi waza,ryote dori tenchi nage omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=Sm9TmYMS8bmziKVZ&amp;clip=UgkxEPBUg6uZ20qSmgqLqXAINg--x1Zl2lke&amp;clipt=EPC5VRj-xVY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=1400,
5,tachi waza,ryote dori tenchi nage ura,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=j8-on274zohL24uB&amp;clip=Ugkx9-zUuIlBWSinnW50koGpA9xy7evxrory&amp;clipt=ENXYVhiR3Vc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=1421,
5,suwari waza,shomen uchi ikkyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/KTmrh2tJ3iU?si=c-YYtOznUVqsVDIm"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=313,
5,tachi waza,shomen uchi ikkyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/p-vZmfcqFus?si=FRr0M_vG50RI7k-p"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=26,https://youtu.be/WKDX0T6lxGM
5,suwari waza,shomen uchi ikkyo ura,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/Voz_JNV1gUw?si=M-BXGme16w40Az_B"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=329,
